
000 | 0C001BA5;  Header 0 (Anzahl Kanäle, Kanalnummer 0, Blocknummer 0x1B, 0xA5)
001 | 00000012;  Header 1 (Status, Nummer Messung)
002 | 5B1031D0;  ch1, ch0
003 | 7FF07FF0;  ch3, ch2
004 | 7FF07FF0;  ch5, ch4
005 | 7FF07FF0;  ch7, ch6
006 | 7FF07FF0;  ch9, ch8
007 | 7FF07FF0;  ch11, ch10
008 | 0000000E;  trigger, vibration
009 | 5B1031D0;  ch1, ch0
010 | 7FF07FF0;  ch3, ch2
011 | 7FF07FF0;  ch5, ch4
012 | 7FF07FF0;  ch7, ch6
013 | 7FF07FF0;  ch9, ch8
014 | 7FF07FF0;  ch11, ch10
015 | 00000223;  trigger, vibration
016 | 5B1031D0;  ch1, ch0
017 | 7FF07FF0;  ch3, ch2
018 | 7FF07FF0;  ch5, ch4
019 | 7FF07FF0;  ch7, ch6
020 | 7FF07FF0;  ch9, ch8
021 | 7FF07FF0;  ch11, ch10
022 | 0000082C;  trigger, vibration
023 | 5B1031D0;  ch1, ch0
024 | 7FF07FF0;  ch3, ch2
025 | 7FF07FF0;  ch5, ch4
026 | 7FF07FF0;  ch7, ch6
027 | 7FF07FF0;  ch9, ch8
028 | 7FF07FF0;  ch11, ch10
029 | 00000001;  trigger, vibration
030 | 5B1031D0;  ch1, ch0
031 | 7FF07FF0;  ch3, ch2
032 | 7FF07FF0;  ch5, ch4
033 | 7FF07FF0;  ch7, ch6
034 | 7FF07FF0;  ch9, ch8
035 | 7FF07FF0;  ch11, ch10
036 | 0000FFEE;  trigger, vibration
037 | 5B1031D0;  ch1, ch0
038 | 7FF07FF0;  ch3, ch2
039 | 7FF07FF0;  ch5, ch4
040 | 7FF07FF0;  ch7, ch6
041 | 7FF07FF0;  ch9, ch8
042 | 7FF07FF0;  ch11, ch10
043 | 00000223;  trigger, vibration
044 | 5B1031D0;  ch1, ch0
045 | 7FF07FF0;  ch3, ch2
046 | 7FF07FF0;  ch5, ch4
047 | 7FF07FF0;  ch7, ch6
048 | 7FF07FF0;  ch9, ch8
049 | 7FF07FF0;  ch11, ch10
050 | 00000820;  trigger, vibration
051 | 5B1031D0;  ch1, ch0
052 | 7FF07FF0;  ch3, ch2
053 | 7FF07FF0;  ch5, ch4
054 | 7FF07FF0;  ch7, ch6
055 | 7FF07FF0;  ch9, ch8
056 | 7FF07FF0;  ch11, ch10
057 | 00000001;  trigger, vibration
058 | 5B1031D0;  ch1, ch0
059 | 7FF07FF0;  ch3, ch2
060 | 7FF07FF0;  ch5, ch4
061 | 7FF07FF0;  ch7, ch6
062 | 7FF07FF0;  ch9, ch8
063 | 7FF07FF0;  ch11, ch10
064 | 0000FFE6;  trigger, vibration
065 | 5B1031D0;  ch1, ch0
066 | 7FF07FF0;  ch3, ch2
067 | 7FF07FF0;  ch5, ch4
068 | 7FF07FF0;  ch7, ch6
069 | 7FF07FF0;  ch9, ch8
070 | 7FF07FF0;  ch11, ch10
071 | 00000223;  trigger, vibration
072 | 5B1031D0;  ch1, ch0
073 | 7FF07FF0;  ch3, ch2
074 | 7FF07FF0;  ch5, ch4
075 | 7FF07FF0;  ch7, ch6
076 | 7FF07FF0;  ch9, ch8
077 | 7FF07FF0;  ch11, ch10
078 | 00000820;  trigger, vibration
079 | 5B1031D0;  ch1, ch0
080 | 7FF07FF0;  ch3, ch2
081 | 7FF07FF0;  ch5, ch4
082 | 7FF07FF0;  ch7, ch6
083 | 7FF07FF0;  ch9, ch8
084 | 7FF07FF0;  ch11, ch10
085 | 00000001;  trigger, vibration
086 | 5B1031D0;  ch1, ch0
087 | 7FF07FF0;  ch3, ch2
088 | 7FF07FF0;  ch5, ch4
089 | 7FF07FF0;  ch7, ch6
090 | 7FF07FF0;  ch9, ch8
091 | 7FF07FF0;  ch11, ch10
092 | 0000FFE6;  trigger, vibration
093 | 5B1031D0;  ch1, ch0
094 | 7FF07FF0;  ch3, ch2
095 | 7FF07FF0;  ch5, ch4
096 | 7FF07FF0;  ch7, ch6
097 | 7FF07FF0;  ch9, ch8
098 | 7FF07FF0;  ch11, ch10
099 | 00000223;  trigger, vibration
100 | 5B1031D0;  ch1, ch0
101 | 7FF07FF0;  ch3, ch2
102 | 7FF07FF0;  ch5, ch4
103 | 7FF07FF0;  ch7, ch6
104 | 7FF07FF0;  ch9, ch8
105 | 7FF07FF0;  ch11, ch10
106 | 00000820;  trigger, vibration
107 | 5B1031D0;  ch1, ch0
108 | 7FF07FF0;  ch3, ch2
109 | 7FF07FF0;  ch5, ch4
110 | 7FF07FF0;  ch7, ch6
111 | 7FF07FF0;  ch9, ch8
112 | 7FF07FF0;  ch11, ch10
113 | 00000001;  trigger, vibration
114 | 5B1031D0;  ch1, ch0
115 | 7FF07FF0;  ch3, ch2
116 | 7FF07FF0;  ch5, ch4
117 | 7FF07FF0;  ch7, ch6
118 | 7FF07FF0;  ch9, ch8
119 | 7FF07FF0;  ch11, ch10
120 | 0000FFE6;  trigger, vibration
121 | 5B1031D0;  ch1, ch0
122 | 7FF07FF0;  ch3, ch2
123 | 7FF07FF0;  ch5, ch4
124 | 7FF07FF0;  ch7, ch6
125 | 7FF07FF0;  ch9, ch8
126 | 7FF07FF0;  ch11, ch10
127 | 00000223;  trigger, vibration
128 | 5B1031D0;  ch1, ch0
129 | 7FF07FF0;  ch3, ch2
130 | 7FF07FF0;  ch5, ch4
131 | 7FF07FF0;  ch7, ch6
132 | 7FF07FF0;  ch9, ch8
133 | 7FF07FF0;  ch11, ch10
134 | 00000814;  trigger, vibration
135 | 5B1031D0;  ch1, ch0
136 | 7FF07FF0;  ch3, ch2
137 | 7FF07FF0;  ch5, ch4
138 | 7FF07FF0;  ch7, ch6
139 | 7FF07FF0;  ch9, ch8
140 | 7FF07FF0;  ch11, ch10
141 | 0000000D;  trigger, vibration
142 | 5B1031D0;  ch1, ch0
143 | 7FF07FF0;  ch3, ch2
144 | 7FF07FF0;  ch5, ch4
145 | 7FF07FF0;  ch7, ch6
146 | 7FF07FF0;  ch9, ch8
147 | 7FF07FF0;  ch11, ch10
148 | 0000FFFA;  trigger, vibration
149 | 5B1031D0;  ch1, ch0
150 | 7FF07FF0;  ch3, ch2
151 | 7FF07FF0;  ch5, ch4
152 | 7FF07FF0;  ch7, ch6
153 | 7FF07FF0;  ch9, ch8
154 | 7FF07FF0;  ch11, ch10
155 | 00000223;  trigger, vibration
156 | 5B1031D0;  ch1, ch0
157 | 7FF07FF0;  ch3, ch2
158 | 7FF07FF0;  ch5, ch4
159 | 7FF07FF0;  ch7, ch6
160 | 7FF07FF0;  ch9, ch8
161 | 7FF07FF0;  ch11, ch10
162 | 00000814;  trigger, vibration
163 | 5B1031D0;  ch1, ch0
164 | 7FF07FF0;  ch3, ch2
165 | 7FF07FF0;  ch5, ch4
166 | 7FF07FF0;  ch7, ch6
167 | 7FF07FF0;  ch9, ch8
168 | 7FF07FF0;  ch11, ch10
169 | 0000000D;  trigger, vibration
170 | 5B1031D0;  ch1, ch0
